"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.0.5","192.168.50.1","TCP","74","52003  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239099883 TSecr=0 WS=2048"
"2","0.000001","172.16.0.5","192.168.50.1","TCP","74","[TCP Retransmission] 52003  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239099883 TSecr=0 WS=2048"
"3","0.000119","192.168.50.1","172.16.0.5","TCP","74","80  >  52003 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432753017 TSecr=239099883 WS=128"
"4","0.000120","192.168.50.1","172.16.0.5","TCP","74","[TCP Retransmission] 80  >  52003 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432753017 TSecr=239099883 WS=128"
"5","0.000259","172.16.0.5","192.168.50.1","TCP","66","52003  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239099883 TSecr=1432753017"
"6","0.000260","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 5#1] 52003  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239099883 TSecr=1432753017"
"7","0.000665","172.16.0.5","192.168.50.1","HTTP","656","GET /c.php HTTP/1.1 "
"8","0.000667","172.16.0.5","192.168.50.1","TCP","656","[TCP Retransmission] 52003  >  80 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=590 TSval=239099883 TSecr=1432753017"
"9","0.000774","192.168.50.1","172.16.0.5","TCP","66","80  >  52003 [ACK] Seq=1 Ack=591 Win=30208 Len=0 TSval=1432753018 TSecr=239099883"
"10","0.000776","192.168.50.1","172.16.0.5","TCP","66","[TCP Dup ACK 9#1] 80  >  52003 [ACK] Seq=1 Ack=591 Win=30208 Len=0 TSval=1432753018 TSecr=239099883"
"11","0.001132","192.168.50.1","172.16.0.5","HTTP","1139","HTTP/1.1 200 OK  (text/html)"
"12","0.001133","192.168.50.1","172.16.0.5","TCP","1139","[TCP Retransmission] 80  >  52003 [PSH, ACK] Seq=1 Ack=591 Win=30208 Len=1073 TSval=1432753018 TSecr=239099883"
"13","0.001233","172.16.0.5","192.168.50.1","TCP","66","52003  >  80 [ACK] Seq=591 Ack=1074 Win=131072 Len=0 TSval=239099883 TSecr=1432753018"
"14","0.001234","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 13#1] 52003  >  80 [ACK] Seq=591 Ack=1074 Win=131072 Len=0 TSval=239099883 TSecr=1432753018"
"15","0.746578","172.16.0.5","192.168.50.1","TCP","74","46507  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239099957 TSecr=0 WS=2048"
"16","0.746579","172.16.0.5","192.168.50.1","TCP","74","[TCP Retransmission] 46507  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239099957 TSecr=0 WS=2048"
"17","0.746687","192.168.50.1","172.16.0.5","TCP","74","80  >  46507 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432753204 TSecr=239099957 WS=128"
"18","0.746688","192.168.50.1","172.16.0.5","TCP","74","[TCP Retransmission] 80  >  46507 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432753204 TSecr=239099957 WS=128"
"19","0.746834","172.16.0.5","192.168.50.1","TCP","66","46507  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239099957 TSecr=1432753204"
"20","0.746835","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 19#1] 46507  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239099957 TSecr=1432753204"
"21","0.747119","172.16.0.5","192.168.50.1","HTTP","735","GET /c.php?ip=2804:25c0:240:b401:a597:4f2d:ca14:775 HTTP/1.1 "
"22","0.747120","172.16.0.5","192.168.50.1","TCP","735","[TCP Retransmission] 46507  >  80 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=669 TSval=239099957 TSecr=1432753204"
"23","0.747244","192.168.50.1","172.16.0.5","TCP","66","80  >  46507 [ACK] Seq=1 Ack=670 Win=30336 Len=0 TSval=1432753204 TSecr=239099957"
"24","0.747245","192.168.50.1","172.16.0.5","TCP","66","[TCP Dup ACK 23#1] 80  >  46507 [ACK] Seq=1 Ack=670 Win=30336 Len=0 TSval=1432753204 TSecr=239099957"
"25","0.747719","192.168.50.1","172.16.0.5","HTTP","1139","HTTP/1.1 200 OK  (text/html)"
"26","0.747721","192.168.50.1","172.16.0.5","TCP","1139","[TCP Retransmission] 80  >  46507 [PSH, ACK] Seq=1 Ack=670 Win=30336 Len=1073 TSval=1432753204 TSecr=239099957"
"27","0.747827","172.16.0.5","192.168.50.1","TCP","66","46507  >  80 [ACK] Seq=670 Ack=1074 Win=131072 Len=0 TSval=239099957 TSecr=1432753204"
"28","0.747828","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 27#1] 46507  >  80 [ACK] Seq=670 Ack=1074 Win=131072 Len=0 TSval=239099957 TSecr=1432753204"
"29","4.517500","172.16.0.5","192.168.50.1","TCP","66","52003  >  80 [FIN, ACK] Seq=591 Ack=1074 Win=131072 Len=0 TSval=239100334 TSecr=1432753018"
"30","4.517501","172.16.0.5","192.168.50.1","TCP","66","[TCP Retransmission] 52003  >  80 [FIN, ACK] Seq=591 Ack=1074 Win=131072 Len=0 TSval=239100334 TSecr=1432753018"
"31","4.517649","192.168.50.1","172.16.0.5","TCP","66","80  >  52003 [FIN, ACK] Seq=1074 Ack=592 Win=30208 Len=0 TSval=1432754147 TSecr=239100334"
"32","4.517652","192.168.50.1","172.16.0.5","TCP","66","[TCP Retransmission] 80  >  52003 [FIN, ACK] Seq=1074 Ack=592 Win=30208 Len=0 TSval=1432754147 TSecr=239100334"
"33","4.517704","172.16.0.5","192.168.50.1","TCP","66","52003  >  80 [ACK] Seq=592 Ack=1075 Win=131072 Len=0 TSval=239100334 TSecr=1432754147"
"34","4.517752","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 33#1] 52003  >  80 [ACK] Seq=592 Ack=1075 Win=131072 Len=0 TSval=239100334 TSecr=1432754147"
"35","5.749133","192.168.50.1","172.16.0.5","TCP","66","80  >  46507 [FIN, ACK] Seq=1074 Ack=670 Win=30336 Len=0 TSval=1432754455 TSecr=239099957"
"36","5.749135","192.168.50.1","172.16.0.5","TCP","66","[TCP Retransmission] 80  >  46507 [FIN, ACK] Seq=1074 Ack=670 Win=30336 Len=0 TSval=1432754455 TSecr=239099957"
"37","5.749314","172.16.0.5","192.168.50.1","TCP","66","46507  >  80 [FIN, ACK] Seq=670 Ack=1075 Win=131072 Len=0 TSval=239100457 TSecr=1432754455"
"38","5.749315","172.16.0.5","192.168.50.1","TCP","66","[TCP Retransmission] 46507  >  80 [FIN, ACK] Seq=670 Ack=1075 Win=131072 Len=0 TSval=239100457 TSecr=1432754455"
"39","5.749422","192.168.50.1","172.16.0.5","TCP","66","80  >  46507 [ACK] Seq=1075 Ack=671 Win=30336 Len=0 TSval=1432754455 TSecr=239100457"
"40","5.749424","192.168.50.1","172.16.0.5","TCP","66","[TCP Dup ACK 39#1] 80  >  46507 [ACK] Seq=1075 Ack=671 Win=30336 Len=0 TSval=1432754455 TSecr=239100457"
"41","46.499077","172.16.0.5","192.168.50.1","TCP","74","53410  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239104532 TSecr=0 WS=2048"
"42","46.499080","172.16.0.5","192.168.50.1","TCP","74","[TCP Retransmission] 53410  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239104532 TSecr=0 WS=2048"
"43","46.499179","192.168.50.1","172.16.0.5","TCP","74","80  >  53410 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432764642 TSecr=239104532 WS=128"
"44","46.499182","192.168.50.1","172.16.0.5","TCP","74","[TCP Retransmission] 80  >  53410 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432764642 TSecr=239104532 WS=128"
"45","46.499322","172.16.0.5","192.168.50.1","TCP","66","53410  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239104532 TSecr=1432764642"
"46","46.499325","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 45#1] 53410  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239104532 TSecr=1432764642"
"47","46.499670","172.16.0.5","192.168.50.1","HTTP","614","GET /c.php HTTP/1.1 "
"48","46.499672","172.16.0.5","192.168.50.1","TCP","614","[TCP Retransmission] 53410  >  80 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=548 TSval=239104532 TSecr=1432764642"
"49","46.499765","192.168.50.1","172.16.0.5","TCP","66","80  >  53410 [ACK] Seq=1 Ack=549 Win=30080 Len=0 TSval=1432764642 TSecr=239104532"
"50","46.499768","192.168.50.1","172.16.0.5","TCP","66","[TCP Dup ACK 49#1] 80  >  53410 [ACK] Seq=1 Ack=549 Win=30080 Len=0 TSval=1432764642 TSecr=239104532"
"51","46.500055","192.168.50.1","172.16.0.5","HTTP","1139","HTTP/1.1 200 OK  (text/html)"
"52","46.500058","192.168.50.1","172.16.0.5","TCP","1139","[TCP Retransmission] 80  >  53410 [PSH, ACK] Seq=1 Ack=549 Win=30080 Len=1073 TSval=1432764642 TSecr=239104532"
"53","46.500172","172.16.0.5","192.168.50.1","TCP","66","53410  >  80 [ACK] Seq=549 Ack=1074 Win=131072 Len=0 TSval=239104533 TSecr=1432764642"
"54","46.500174","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 53#1] 53410  >  80 [ACK] Seq=549 Ack=1074 Win=131072 Len=0 TSval=239104533 TSecr=1432764642"
"55","47.030586","172.16.0.5","192.168.50.1","HTTP","667","GET /c.php?ip=192.168.1.5 HTTP/1.1 "
"56","47.030590","172.16.0.5","192.168.50.1","TCP","667","[TCP Retransmission] 53410  >  80 [PSH, ACK] Seq=549 Ack=1074 Win=131072 Len=601 TSval=239104586 TSecr=1432764642"
"57","47.031136","192.168.50.1","172.16.0.5","HTTP","1138","HTTP/1.1 200 OK  (text/html)"
"58","47.031139","192.168.50.1","172.16.0.5","TCP","1138","[TCP Retransmission] 80  >  53410 [PSH, ACK] Seq=1074 Ack=1150 Win=31360 Len=1072 TSval=1432764775 TSecr=239104586"
"59","47.031253","172.16.0.5","192.168.50.1","TCP","66","53410  >  80 [ACK] Seq=1150 Ack=2146 Win=131072 Len=0 TSval=239104586 TSecr=1432764775"
"60","47.031256","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 59#1] 53410  >  80 [ACK] Seq=1150 Ack=2146 Win=131072 Len=0 TSval=239104586 TSecr=1432764775"
"61","51.817205","172.16.0.5","192.168.50.1","TCP","66","53410  >  80 [FIN, ACK] Seq=1150 Ack=2146 Win=131072 Len=0 TSval=239105064 TSecr=1432764775"
"62","51.817207","172.16.0.5","192.168.50.1","TCP","66","[TCP Retransmission] 53410  >  80 [FIN, ACK] Seq=1150 Ack=2146 Win=131072 Len=0 TSval=239105064 TSecr=1432764775"
"63","51.817349","192.168.50.1","172.16.0.5","TCP","66","80  >  53410 [FIN, ACK] Seq=2146 Ack=1151 Win=31360 Len=0 TSval=1432765972 TSecr=239105064"
"64","51.817352","192.168.50.1","172.16.0.5","TCP","66","[TCP Retransmission] 80  >  53410 [FIN, ACK] Seq=2146 Ack=1151 Win=31360 Len=0 TSval=1432765972 TSecr=239105064"
"65","51.817377","172.16.0.5","192.168.50.1","TCP","66","53410  >  80 [ACK] Seq=1151 Ack=2147 Win=131072 Len=0 TSval=239105064 TSecr=1432765972"
"66","51.817378","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 65#1] 53410  >  80 [ACK] Seq=1151 Ack=2147 Win=131072 Len=0 TSval=239105064 TSecr=1432765972"
"67","58.046240","172.16.0.5","192.168.50.1","TCP","74","35671  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239105687 TSecr=0 WS=2048"
"68","58.046242","172.16.0.5","192.168.50.1","TCP","74","[TCP Retransmission] 35671  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239105687 TSecr=0 WS=2048"
"69","58.046398","192.168.50.1","172.16.0.5","TCP","74","80  >  35671 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432767529 TSecr=239105687 WS=128"
"70","58.046401","192.168.50.1","172.16.0.5","TCP","74","[TCP Retransmission] 80  >  35671 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432767529 TSecr=239105687 WS=128"
"71","58.046528","172.16.0.5","192.168.50.1","TCP","66","35671  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239105687 TSecr=1432767529"
"72","58.046531","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 71#1] 35671  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239105687 TSecr=1432767529"
"73","58.048586","172.16.0.5","192.168.50.1","HTTP","504","GET /c.php HTTP/1.1 "
"74","58.048589","172.16.0.5","192.168.50.1","TCP","504","[TCP Retransmission] 35671  >  80 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=438 TSval=239105687 TSecr=1432767529"
"75","58.048723","192.168.50.1","172.16.0.5","TCP","66","80  >  35671 [ACK] Seq=1 Ack=439 Win=30080 Len=0 TSval=1432767530 TSecr=239105687"
"76","58.048726","192.168.50.1","172.16.0.5","TCP","66","[TCP Dup ACK 75#1] 80  >  35671 [ACK] Seq=1 Ack=439 Win=30080 Len=0 TSval=1432767530 TSecr=239105687"
"77","58.049089","192.168.50.1","172.16.0.5","HTTP","1139","HTTP/1.1 200 OK  (text/html)"
"78","58.049092","192.168.50.1","172.16.0.5","TCP","1139","[TCP Retransmission] 80  >  35671 [PSH, ACK] Seq=1 Ack=439 Win=30080 Len=1073 TSval=1432767530 TSecr=239105687"
"79","58.049207","172.16.0.5","192.168.50.1","TCP","66","35671  >  80 [ACK] Seq=439 Ack=1074 Win=131072 Len=0 TSval=239105687 TSecr=1432767530"
"80","58.049209","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 79#1] 35671  >  80 [ACK] Seq=439 Ack=1074 Win=131072 Len=0 TSval=239105687 TSecr=1432767530"
"81","58.360757","172.16.0.5","192.168.50.1","TCP","74","35674  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239105719 TSecr=0 WS=2048"
"82","58.360760","172.16.0.5","192.168.50.1","TCP","74","[TCP Retransmission] 35674  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239105719 TSecr=0 WS=2048"
"83","58.360884","192.168.50.1","172.16.0.5","TCP","74","80  >  35674 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432767608 TSecr=239105719 WS=128"
"84","58.360886","192.168.50.1","172.16.0.5","TCP","74","[TCP Retransmission] 80  >  35674 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432767608 TSecr=239105719 WS=128"
"85","58.360981","172.16.0.5","192.168.50.1","TCP","66","35674  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239105719 TSecr=1432767608"
"86","58.360983","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 85#1] 35674  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239105719 TSecr=1432767608"
"87","58.446422","172.16.0.5","192.168.50.1","HTTP","585","GET /c.php?ip=2402:3a80:109a:5116:af21:32cf:4f0a:62a1 HTTP/1.1 "
"88","58.446425","172.16.0.5","192.168.50.1","TCP","585","[TCP Retransmission] 35671  >  80 [PSH, ACK] Seq=439 Ack=1074 Win=131072 Len=519 TSval=239105727 TSecr=1432767530"
"89","58.446954","192.168.50.1","172.16.0.5","HTTP","1138","HTTP/1.1 200 OK  (text/html)"
"90","58.446956","192.168.50.1","172.16.0.5","TCP","1138","[TCP Retransmission] 80  >  35671 [PSH, ACK] Seq=1074 Ack=958 Win=31104 Len=1072 TSval=1432767629 TSecr=239105727"
"91","58.447156","172.16.0.5","192.168.50.1","TCP","66","35671  >  80 [ACK] Seq=958 Ack=2146 Win=131072 Len=0 TSval=239105727 TSecr=1432767629"
"92","58.447158","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 91#1] 35671  >  80 [ACK] Seq=958 Ack=2146 Win=131072 Len=0 TSval=239105727 TSecr=1432767629"
"93","63.452005","192.168.50.1","172.16.0.5","TCP","66","80  >  35671 [FIN, ACK] Seq=2146 Ack=958 Win=31104 Len=0 TSval=1432768880 TSecr=239105727"
"94","63.452008","192.168.50.1","172.16.0.5","TCP","66","[TCP Retransmission] 80  >  35671 [FIN, ACK] Seq=2146 Ack=958 Win=31104 Len=0 TSval=1432768880 TSecr=239105727"
"95","63.452199","172.16.0.5","192.168.50.1","TCP","66","35671  >  80 [FIN, ACK] Seq=958 Ack=2147 Win=131072 Len=0 TSval=239106228 TSecr=1432768880"
"96","63.452202","172.16.0.5","192.168.50.1","TCP","66","[TCP Retransmission] 35671  >  80 [FIN, ACK] Seq=958 Ack=2147 Win=131072 Len=0 TSval=239106228 TSecr=1432768880"
"97","63.452297","192.168.50.1","172.16.0.5","TCP","66","80  >  35671 [ACK] Seq=2147 Ack=959 Win=31104 Len=0 TSval=1432768880 TSecr=239106228"
"98","63.452300","192.168.50.1","172.16.0.5","TCP","66","[TCP Dup ACK 97#1] 80  >  35671 [ACK] Seq=2147 Ack=959 Win=31104 Len=0 TSval=1432768880 TSecr=239106228"
"99","71.906519","172.16.0.5","192.168.50.1","TCP","74","55020  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239107073 TSecr=0 WS=2048"
"100","71.906521","172.16.0.5","192.168.50.1","TCP","74","[TCP Retransmission] 55020  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239107073 TSecr=0 WS=2048"
"101","71.906672","192.168.50.1","172.16.0.5","TCP","74","80  >  55020 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432770994 TSecr=239107073 WS=128"
"102","71.906675","192.168.50.1","172.16.0.5","TCP","74","[TCP Retransmission] 80  >  55020 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432770994 TSecr=239107073 WS=128"
"103","71.906802","172.16.0.5","192.168.50.1","TCP","66","55020  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239107073 TSecr=1432770994"
"104","71.906804","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 103#1] 55020  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239107073 TSecr=1432770994"
"105","71.907079","172.16.0.5","192.168.50.1","HTTP","612","GET /c.php HTTP/1.1 "
"106","71.907081","172.16.0.5","192.168.50.1","TCP","612","[TCP Retransmission] 55020  >  80 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=546 TSval=239107073 TSecr=1432770994"
"107","71.907157","192.168.50.1","172.16.0.5","TCP","66","80  >  55020 [ACK] Seq=1 Ack=547 Win=30080 Len=0 TSval=1432770994 TSecr=239107073"
"108","71.907159","192.168.50.1","172.16.0.5","TCP","66","[TCP Dup ACK 107#1] 80  >  55020 [ACK] Seq=1 Ack=547 Win=30080 Len=0 TSval=1432770994 TSecr=239107073"
"109","71.907511","192.168.50.1","172.16.0.5","HTTP","1139","HTTP/1.1 200 OK  (text/html)"
"110","71.907514","192.168.50.1","172.16.0.5","TCP","1139","[TCP Retransmission] 80  >  55020 [PSH, ACK] Seq=1 Ack=547 Win=30080 Len=1073 TSval=1432770994 TSecr=239107073"
"111","71.907580","172.16.0.5","192.168.50.1","TCP","66","55020  >  80 [ACK] Seq=547 Ack=1074 Win=131072 Len=0 TSval=239107073 TSecr=1432770994"
"112","71.907583","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 111#1] 55020  >  80 [ACK] Seq=547 Ack=1074 Win=131072 Len=0 TSval=239107073 TSecr=1432770994"
"113","72.289447","172.16.0.5","192.168.50.1","TCP","74","37210  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239107111 TSecr=0 WS=2048"
"114","72.289449","172.16.0.5","192.168.50.1","TCP","74","[TCP Retransmission] 37210  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239107111 TSecr=0 WS=2048"
"115","72.289565","192.168.50.1","172.16.0.5","TCP","74","80  >  37210 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432771090 TSecr=239107111 WS=128"
"116","72.289567","192.168.50.1","172.16.0.5","TCP","74","[TCP Retransmission] 80  >  37210 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432771090 TSecr=239107111 WS=128"
"117","72.289660","172.16.0.5","192.168.50.1","TCP","66","37210  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239107111 TSecr=1432771090"
"118","72.289663","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 117#1] 37210  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239107111 TSecr=1432771090"
"119","72.289929","172.16.0.5","192.168.50.1","HTTP","465","GET /c.php HTTP/1.1 "
"120","72.289932","172.16.0.5","192.168.50.1","TCP","465","[TCP Retransmission] 37210  >  80 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=399 TSval=239107111 TSecr=1432771090"
"121","72.290025","192.168.50.1","172.16.0.5","TCP","66","80  >  37210 [ACK] Seq=1 Ack=400 Win=30080 Len=0 TSval=1432771090 TSecr=239107111"
"122","72.290028","192.168.50.1","172.16.0.5","TCP","66","[TCP Dup ACK 121#1] 80  >  37210 [ACK] Seq=1 Ack=400 Win=30080 Len=0 TSval=1432771090 TSecr=239107111"
"123","72.290372","192.168.50.1","172.16.0.5","HTTP","1139","HTTP/1.1 200 OK  (text/html)"
"124","72.290375","192.168.50.1","172.16.0.5","TCP","1139","[TCP Retransmission] 80  >  37210 [PSH, ACK] Seq=1 Ack=400 Win=30080 Len=1073 TSval=1432771090 TSecr=239107111"
"125","72.290488","172.16.0.5","192.168.50.1","TCP","66","37210  >  80 [ACK] Seq=400 Ack=1074 Win=131072 Len=0 TSval=239107112 TSecr=1432771090"
"126","72.290491","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 125#1] 37210  >  80 [ACK] Seq=400 Ack=1074 Win=131072 Len=0 TSval=239107112 TSecr=1432771090"
"127","72.624007","172.16.0.5","192.168.50.1","HTTP","669","GET /c.php?ip=192.168.137.149 HTTP/1.1 "
"128","72.624010","172.16.0.5","192.168.50.1","TCP","669","[TCP Retransmission] 55020  >  80 [PSH, ACK] Seq=547 Ack=1074 Win=131072 Len=603 TSval=239107145 TSecr=1432770994"
"129","72.624534","192.168.50.1","172.16.0.5","HTTP","1138","HTTP/1.1 200 OK  (text/html)"
"130","72.624536","192.168.50.1","172.16.0.5","TCP","1138","[TCP Retransmission] 80  >  55020 [PSH, ACK] Seq=1074 Ack=1150 Win=31360 Len=1072 TSval=1432771174 TSecr=239107145"
"131","72.624686","172.16.0.5","192.168.50.1","TCP","66","55020  >  80 [ACK] Seq=1150 Ack=2146 Win=131072 Len=0 TSval=239107145 TSecr=1432771174"
"132","72.624689","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 131#1] 55020  >  80 [ACK] Seq=1150 Ack=2146 Win=131072 Len=0 TSval=239107145 TSecr=1432771174"
"133","72.693672","172.16.0.5","192.168.50.1","HTTP","518","GET /c.php?ip=192.168.1.2 HTTP/1.1 "
"134","72.693674","172.16.0.5","192.168.50.1","TCP","518","[TCP Retransmission] 37210  >  80 [PSH, ACK] Seq=400 Ack=1074 Win=131072 Len=452 TSval=239107152 TSecr=1432771090"
"135","72.694146","192.168.50.1","172.16.0.5","HTTP","1138","HTTP/1.1 200 OK  (text/html)"
"136","72.694149","192.168.50.1","172.16.0.5","TCP","1138","[TCP Retransmission] 80  >  37210 [PSH, ACK] Seq=1074 Ack=852 Win=31104 Len=1072 TSval=1432771191 TSecr=239107152"
"137","72.694244","172.16.0.5","192.168.50.1","TCP","66","37210  >  80 [ACK] Seq=852 Ack=2146 Win=131072 Len=0 TSval=239107152 TSecr=1432771191"
