ID,Year_Birth,Age,AgeRange,Education,Marital_Status,Income,IncomeRange,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,PercentDealsPurchases,NumNonDealsPurchases,NumAllPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
5524,1957,67,61-70,Graduation,Single,58138,30K-50K,0,0,04-09-2012,58,635,88,546,172,88,88,3,14%,19,22,8,10,4,7,0,0,0,0,0,0,1
2174,1954,70,61-70,Graduation,Single,46344,30K-50K,1,1,08-03-2014,38,11,1,6,2,1,6,2,50%,2,4,1,1,2,5,0,0,0,0,0,0,0
4141,1965,59,51-60,Graduation,Together,71613,70K-100K,0,0,21-08-2013,26,426,49,127,111,21,42,1,5%,19,20,8,2,10,4,0,0,0,0,0,0,0
6182,1984,40,31-40,Graduation,Together,26646,20K-30K,1,0,10-02-2014,26,11,4,20,10,3,5,2,33%,4,6,2,0,4,6,0,0,0,0,0,0,0
5324,1981,43,41-50,PhD,Married,58293,50K-70K,1,0,19-01-2014,94,173,43,118,46,27,15,5,36%,9,14,5,3,6,5,0,0,0,0,0,0,0
7446,1967,57,51-60,Master,Together,62513,50K-70K,0,1,09-09-2013,16,520,42,98,0,42,14,2,10%,18,20,6,4,10,6,0,0,0,0,0,0,0
965,1971,53,51-60,Graduation,Divorced,55635,50K-70K,0,1,13-11-2012,34,235,65,164,50,49,27,4,24%,13,17,7,3,7,6,0,0,0,0,0,0,0
6177,1985,39,31-40,PhD,Married,33454,30K-50K,1,0,08-05-2013,32,76,10,56,3,1,23,2,25%,6,8,4,0,4,8,0,0,0,0,0,0,0
4855,1974,50,41-50,PhD,Together,30351,30K-50K,1,0,06-06-2013,19,14,0,24,3,3,2,1,20%,4,5,3,0,2,9,0,0,0,0,0,0,1
5899,1950,74,71-80,PhD,Together,5648,5K-10K,1,1,13-03-2014,68,28,0,6,1,1,13,1,100%,0,1,1,0,0,20,1,0,0,0,0,0,0
1994,1983,41,41-50,Graduation,Married,51382,50K-70K,1,0,15-11-2013,11,5,5,6,0,2,1,1,33%,2,3,1,0,2,7,0,0,0,0,0,0,0
387,1976,48,41-50,Basic,Married,7500,5K-10K,0,0,13-11-2012,59,6,16,11,11,1,16,1,20%,4,5,2,0,3,8,0,0,0,0,0,0,0
2125,1959,65,61-70,Graduation,Divorced,63033,50K-70K,0,0,15-11-2013,82,194,61,480,225,112,30,1,7%,14,15,3,4,8,2,0,0,0,0,0,0,0
8180,1952,72,71-80,Master,Divorced,59354,50K-70K,1,1,15-11-2013,53,233,2,53,3,5,14,3,25%,9,12,6,1,5,6,0,0,0,0,0,0,0
2569,1987,37,31-40,Graduation,Married,17323,10K-20K,0,0,10-10-2012,38,3,14,17,6,1,5,1,25%,3,4,1,0,3,8,0,0,0,0,0,0,0
2114,1946,78,71-80,PhD,Single,82800,70K-100K,0,0,24-11-2012,23,1006,22,115,59,68,45,1,4%,24,25,7,6,12,3,0,0,1,1,0,0,1
9736,1980,44,41-50,Graduation,Married,41850,30K-50K,1,1,24-12-2012,51,53,5,19,2,13,4,3,50%,3,6,3,0,3,8,0,0,0,0,0,0,0
4939,1946,78,71-80,Graduation,Together,37760,30K-50K,0,0,31-08-2012,20,84,5,38,150,12,28,2,18%,9,11,4,1,6,7,0,0,0,0,0,0,0
6565,1949,75,71-80,Master,Married,76995,70K-100K,0,1,28-03-2013,91,1012,80,498,0,16,176,2,8%,22,24,11,4,9,5,0,0,0,1,0,0,0
2278,1985,39,31-40,2n Cycle,Single,33812,30K-50K,1,0,03-11-2012,86,4,17,19,30,24,39,2,33%,4,6,2,1,3,6,0,0,0,0,0,0,0
9360,1982,42,41-50,Graduation,Married,37040,30K-50K,0,0,08-08-2012,41,86,2,73,69,38,48,1,9%,10,11,4,2,5,8,0,0,0,0,0,0,0
5376,1979,45,41-50,Graduation,Married,2447,1K-3K,1,0,06-01-2013,42,1,1,1725,1,1,1,15,54%,13,28,0,28,0,1,0,0,0,0,0,0,0
1993,1949,75,71-80,PhD,Married,58607,50K-70K,0,1,23-12-2012,63,867,0,86,0,0,19,3,21%,11,14,2,3,9,8,0,1,0,0,0,0,0
4047,1954,70,61-70,PhD,Married,65324,50K-70K,0,1,11-01-2014,0,384,0,102,21,32,5,3,18%,14,17,6,2,9,4,0,0,0,0,0,0,0
1409,1951,73,71-80,Graduation,Together,40689,30K-50K,0,1,18-03-2013,69,270,3,27,39,6,99,7,54%,6,13,7,1,5,8,0,0,0,0,0,0,0
7892,1969,55,51-60,Graduation,Single,18589,10K-20K,0,0,02-01-2013,89,6,4,25,15,12,13,2,33%,4,6,2,1,3,7,0,0,0,0,0,0,0
2404,1976,48,41-50,Graduation,Married,53359,50K-70K,1,1,27-05-2013,4,173,4,30,3,6,41,4,40%,6,10,5,1,4,7,0,0,0,0,0,0,0
5255,1986,38,31-40,Graduation,Single,51382,50K-70K,1,0,20-02-2013,19,5,1,3,3,263,362,0,0%,27,27,27,0,0,1,0,0,0,0,0,0,0
9422,1989,35,31-40,Graduation,Married,38360,30K-50K,1,0,31-05-2013,26,36,2,42,20,21,10,2,29%,5,7,2,1,4,3,0,0,0,0,0,0,0
1966,1965,59,51-60,PhD,Married,84618,70K-100K,0,0,22-11-2013,96,684,100,801,21,66,0,1,4%,24,25,6,9,10,2,0,0,1,0,0,0,0
6864,1989,35,31-40,Master,Divorced,10979,10K-20K,0,0,22-05-2014,34,8,4,10,2,2,4,2,33%,4,6,3,0,3,5,0,0,0,0,0,0,0
3033,1963,61,61-70,Master,Together,38620,30K-50K,0,0,11-05-2013,56,112,17,44,34,22,89,1,10%,9,10,2,5,3,3,0,0,0,0,0,0,0
5710,1970,54,51-60,Graduation,Together,40548,30K-50K,0,1,10-10-2012,31,110,0,5,2,0,3,2,29%,5,7,2,1,4,5,0,1,0,0,0,0,0
7373,1952,72,71-80,PhD,Divorced,46610,30K-50K,0,2,29-10-2012,8,96,12,96,33,22,43,6,55%,5,11,4,1,6,6,0,0,0,0,0,0,1
8755,1946,78,71-80,Master,Married,68657,50K-70K,0,0,20-02-2013,4,482,34,471,119,68,22,1,6%,16,17,3,5,9,7,0,0,0,0,0,0,0
10738,1951,73,71-80,Master,Single,49389,30K-50K,1,1,29-08-2013,55,40,0,19,2,1,3,1,20%,4,5,2,0,3,7,0,0,0,0,0,0,0
4339,1970,54,51-60,PhD,Married,67353,50K-70K,0,1,31-12-2013,37,702,17,151,0,8,35,5,22%,18,23,5,6,12,2,0,0,0,0,0,0,0
10755,1976,48,41-50,2n Cycle,Married,23718,20K-30K,1,0,02-09-2013,76,6,3,14,15,7,36,3,50%,3,6,3,1,2,7,0,0,0,0,0,0,0
8595,1973,51,51-60,Graduation,Widow,42429,30K-50K,0,1,11-02-2014,99,55,0,6,2,0,4,2,40%,3,5,1,1,3,5,0,0,0,0,0,0,0
2968,1943,81,80+,PhD,Divorced,48948,30K-50K,0,0,01-02-2013,53,437,8,206,160,49,42,2,9%,20,22,7,10,5,6,1,0,0,0,0,0,1
8601,1980,44,41-50,Graduation,Married,80011,70K-100K,0,1,29-04-2013,3,421,76,536,82,178,102,2,11%,17,19,8,6,5,4,0,0,0,0,0,0,0
503,1985,39,31-40,Master,Married,20559,20K-30K,1,0,12-03-2013,88,13,1,29,3,0,7,2,40%,3,5,2,0,3,8,0,0,0,0,0,0,0
8430,1957,67,61-70,Graduation,Together,21994,20K-30K,0,1,24-12-2012,4,9,0,6,3,1,3,1,33%,2,3,0,0,3,5,0,0,0,0,0,0,0
7281,1959,65,61-70,PhD,Single,51382,50K-70K,0,0,05-11-2013,80,81,11,50,3,2,39,1,13%,7,8,1,3,4,2,0,0,0,0,0,0,0
2139,1975,49,41-50,Master,Married,7500,5K-10K,1,0,02-10-2013,19,3,1,10,3,2,12,3,60%,2,5,2,0,3,5,0,0,0,0,0,0,0
1371,1976,48,41-50,Graduation,Single,79941,70K-100K,0,0,28-06-2014,72,123,164,266,227,30,174,1,7%,14,15,2,4,9,1,0,0,0,0,0,0,0
9909,1996,28,20-30,2n Cycle,Married,7500,5K-10K,0,0,09-11-2012,24,3,18,14,15,22,50,3,43%,4,7,3,1,3,9,0,0,0,0,0,0,1
7286,1968,56,51-60,Graduation,Together,41728,30K-50K,1,0,24-05-2013,92,13,6,15,3,5,13,1,25%,3,4,2,0,2,10,0,0,0,0,0,0,0
7244,1951,73,71-80,Graduation,Single,51382,50K-70K,2,1,01-01-2014,96,48,5,48,6,10,7,3,43%,4,7,2,1,4,6,0,0,0,0,0,0,0
6566,1954,70,61-70,PhD,Married,72550,70K-100K,1,1,08-11-2012,39,826,50,317,50,38,38,9,47%,10,19,5,2,12,8,0,0,0,0,0,0,0
8614,1957,67,61-70,Graduation,Widow,65486,50K-70K,0,1,12-05-2014,29,245,19,125,37,67,14,1,6%,15,16,4,2,10,2,0,0,0,0,0,0,0
4114,1964,60,51-60,Master,Married,79143,70K-100K,0,0,11-08-2012,2,650,37,780,27,167,32,1,4%,27,28,6,9,13,3,0,0,0,0,0,0,0
1331,1977,47,41-50,Graduation,Single,35790,30K-50K,1,0,02-01-2013,54,12,6,20,30,1,3,2,40%,3,5,2,0,3,7,0,0,0,0,0,0,0
